index,category,prompt,expected_response,exp006_response,exp010_response,exp006_repetitive,exp010_repetitive,exp006_response_length,exp010_response_length,exp010_likely_relevant
27,introductions,What would you say when a new teammate sitting beside you joins the conversation?,I would keep it simple: share my name and say that it is nice to meet them.,€I have been a good deal to get a good deal to get a good way to get a good way to get a good way to get a ,I am glad you are going to see you.,True,False,107,35,False
28,introductions,You have never met a new teammate at the first meeting. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",The first time you can be able to get a lot of the time you can be able to be able to get a good or more effective for your ,I am sorry to meet you.,True,False,124,23,True
29,introductions,What would you say when a new teammate waiting by the entrance joins the conversation?,I would keep it simple: share my name and say that it is nice to meet them.,The first time is the first time to be the first time to be the first time to be the same time to the same time to the Moon and ,I am glad you are going to see you.,True,False,128,35,False
30,introductions,You have never met a new teammate helping with the event. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",The first time you can be able to get a lot of your child or a child or a child or a child or a child or a child or ,I am sorry to meet you.,True,False,116,23,True
31,introductions,What would you say when a new teammate starting today joins the conversation?,I would keep it simple: share my name and say that it is nice to meet them.,The first time is the first time to be the first time to be the same time to be the same time to be the same time to be the ,I am sorry to meet you.,True,False,124,23,True
32,introductions,You have never met a guest at a gathering joining the group. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",You can use a lot of your child or a child or a child or a child or a child or a child or a child or a child or ,I am sorry to meet you.,True,False,112,23,True
33,introductions,What would you say when a guest at a gathering sitting beside you joins the conversation?,I would keep it simple: share my name and say that it is nice to meet them.,€ I have to do that you have to do that you have to do that you are not to do with your child or not to get a child,I am glad you have been able to help.,True,False,115,37,False
34,introductions,You have never met a guest at a gathering at the first meeting. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",The first time you can be able to get a bit of your own life. You can be a good way to get a good way to get a good,I am sorry to meet you at a time.,True,False,115,33,True
35,introductions,What would you say when a guest at a gathering waiting by the entrance joins the conversation?,I would keep it simple: share my name and say that it is nice to meet them.,The first time is the first time to be the same time to be the same time to the same time of the same time is the same time to ,I am glad that is a good way to meet you.,True,False,127,41,True
36,introductions,You have never met a guest at a gathering helping with the event. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",If you have a lot of your child or not have a child or a child or a child or a child or a child or a child or a ,I am sorry to meet you at a time.,True,False,112,33,True
37,introductions,What would you say when a guest at a gathering starting today joins the conversation?,I would keep it simple: share my name and say that it is nice to meet them.,The first time is the first time to be the first time to be the same time to the same time to the other hand of the two or three ,I am sorry to meet you.,True,False,129,23,True
38,introductions,You have never met a classmate joining the group. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",The first time you can be able to be able to be able to be able to be able to be able to be able to be able to be ,I am sorry to meet you.,True,False,114,23,True
39,introductions,What would you say when a classmate sitting beside you joins the conversation?,I would keep it simple: share my name and say that it is nice to meet them.,The first time you have to be able to be able to be able to be able to be able to be able to be able to be able to ,I am sorry to meet you.,True,False,115,23,True
40,introductions,You have never met a classmate at the first meeting. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",The first time you can be able to be able to be able to be able to be able to be able to be able to be able to be ,I am sorry to meet you.,True,False,114,23,True
41,introductions,What would you say when a classmate waiting by the entrance joins the conversation?,I would keep it simple: share my name and say that it is nice to meet them.,€I have been the first to be a good deal to be able to be able to be a good way to be able to be a good way ,I am glad you are going to meet it.,True,False,108,35,True
42,introductions,You have never met a classmate helping with the event. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",The first time you can be able to be able to be able to be able to be able to be able to be able to be able to be ,I am sorry to meet you.,True,False,114,23,True
43,introductions,What would you say when a classmate starting today joins the conversation?,I would keep it simple: share my name and say that it is nice to meet them.,€I have been able to be able to be able to be able to be able to be able to be able to be able to be a good ,I am glad you have been happy to see you.,True,False,108,41,False
44,introductions,You have never met a neighbor joining the group. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",You can use a lot of your child or a child or a child or a child or a child or a child or a child or a child. You,I am glad you are going to me.,True,False,113,30,False
45,introductions,What would you say when a neighbor sitting beside you joins the conversation?,I would keep it simple: share my name and say that it is nice to meet them.,€I am not to do that I am sure that I have to do that I have to do that I have to do that I have to do ,I am glad you are going to see you.,True,False,103,35,False
46,introductions,You have never met a neighbor at the first meeting. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",You can be a good way to get a good and you can be able to get a good way to get a good way to get a good way ,I am sorry to meet you.,True,False,110,23,True
47,introductions,What would you say when a neighbor waiting by the entrance joins the conversation?,I would keep it simple: share my name and say that it is nice to meet them.,The first time is the first to be the first time of the first time to be the first time to the same time to the same time to the ,I am glad you have been able to see you.,True,False,129,40,False
48,introductions,You have never met a neighbor helping with the event. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",You can be a good way to get a good and you can be able to get a good way to get a good way to get a good way ,I am glad you are going to see you.,True,False,110,35,False
49,introductions,What would you say when a neighbor starting today joins the conversation?,I would keep it simple: share my name and say that it is nice to meet them.,The first time is the first time to be the same time to the same time to the other two or three or three or three or three or three ,I am glad you have been happy to meet you.,True,False,132,42,True
50,introductions,You have never met a volunteer joining the group. How do you introduce yourself?,"I would say my name, welcome them, and invite them into the conversation.",The first time you can be able to be able to be able to be able to be able to be able to be able to be able to be ,I am sorry to meet you.,True,False,114,23,True
51,wellbeing,You have not heard from you after a busy week. How do you check in?,I would check in with care and give them space to answer honestly.,I am sure that you can be able to do with your child or not to be able to be able to be able to be able to be able ,I am sorry to meet you.,True,False,115,23,False
52,wellbeing,Ask you how life has been going this afternoon.,I would ask in a calm way and offer to listen if something is difficult.,The first time you can be able to get a good way to get a lot of your own life. You can also be a good way to do that,I am glad I am glad you have been happy to meet you.,False,True,117,52,False
53,wellbeing,You have not heard from you since yesterday. How do you check in?,I would check in with care and give them space to answer honestly.,I have to be a good way to do that you have to be able to be able to do with your child. You can be able to get a,I am sorry to meet you.,True,False,113,23,False
54,wellbeing,Ask you how life has been going after the trip.,I would ask in a calm way and offer to listen if something is difficult.,The first time you can be able to get a good amount of your health and health care and healthy health. The best time is to be a good ,I am glad you have been able to see you.,False,False,133,40,False
55,wellbeing,You have not heard from you during the cold weather. How do you check in?,I would check in with care and give them space to answer honestly.,If you have a lot of your dog or your dog or your dog or your dog or your dog or your child will be a good or a good ,I am sorry to meet you.,True,False,117,23,False
56,wellbeing,Ask you how life has been going before the weekend.,I would ask in a calm way and offer to listen if something is difficult.,The first time you have to be a good way to get a good chance to get a good way to get a good way to the right to the ,I am glad I am glad you are going to see you.,True,True,118,45,False
57,wellbeing,You have not heard from your friend after a busy week. How do you check in?,I would check in with care and give them space to answer honestly.,I have to be a good way to do with your child and you will be able to get your child to get a child or a child. You can,I am glad you have been able to make it easier.,True,False,119,47,False
58,wellbeing,Ask your friend how life has been going this afternoon.,I would ask in a calm way and offer to listen if something is difficult.,The first time is the first time to be a good way to the right to the right to the other side of the right and the other hand is ,I am glad you have been able to see you.,True,False,129,40,False
59,wellbeing,You have not heard from your friend since yesterday. How do you check in?,I would check in with care and give them space to answer honestly.,You can be a good way to get a good way to get a good and you can get your child to get a good child or a child or ,I am sorry to meet you.,True,False,115,23,False
60,wellbeing,Ask your friend how life has been going after the trip.,I would ask in a calm way and offer to listen if something is difficult.,The first time is the first time to be a good way to be able to be a good way to get the right to the right to the right ,I am glad you are going to see you.,True,False,121,35,False
61,wellbeing,You have not heard from your friend during the cold weather. How do you check in?,I would check in with care and give them space to answer honestly.,I have to be a good way to do that you can be able to get your own health and you can be able to get a good way to ,I am glad you have been able to make it easier.,True,False,115,47,False
62,wellbeing,Ask your friend how life has been going before the weekend.,I would ask in a calm way and offer to listen if something is difficult.,The first time is the first time to be the first time to be the first time to be the same time to the other hand of the day. The,I am glad I am glad you are going to me.,True,True,128,40,False
63,wellbeing,You have not heard from your coworker after a busy week. How do you check in?,I would check in with care and give them space to answer honestly.,I have to do that you have to do that you have to be able to do with your child or not to do with your child. You can be,I am glad you have been happy to meet you.,True,False,120,42,False
64,wellbeing,Ask your coworker how life has been going this afternoon.,I would ask in a calm way and offer to listen if something is difficult.,The first time is the first time to be a good way to be able to be a good way to get the right to the right to the right ,I am glad to see you about it.,True,False,121,30,False
65,wellbeing,You have not heard from your coworker since yesterday. How do you check in?,I would check in with care and give them space to answer honestly.,If you have a lot of your child or you have to be a good child or a child or a child or a child or a child or a ,I am sorry to meet you.,True,False,112,23,False
66,wellbeing,Ask your coworker how life has been going after the trip.,I would ask in a calm way and offer to listen if something is difficult.,The most common and the most common and the most common and the most common and the most common and the most common and the most common and the most ,I am glad you have been happy to meet you.,True,False,149,42,False
67,wellbeing,You have not heard from your coworker during the cold weather. How do you check in?,I would check in with care and give them space to answer honestly.,I have to be a good way to get a good way to get a good way to get a good way to the right to the right to the ,I am glad you have been happy to see you.,True,False,111,41,False
68,wellbeing,Ask your coworker how life has been going before the weekend.,I would ask in a calm way and offer to listen if something is difficult.,The first time is the first time to be the same time to the same time you can be able to get a few years of the next day. The,I am glad you have been happy to see you.,True,False,125,41,False
69,wellbeing,You have not heard from your brother after a busy week. How do you check in?,I would check in with care and give them space to answer honestly.,I have to be a good way to do with your own life. I have to do that you have to do that you are going to be able to,I am glad you have been able to make it easier.,True,False,115,47,False
70,wellbeing,Ask your brother how life has been going this afternoon.,I would ask in a calm way and offer to listen if something is difficult.,The first time is the first time to be a good step of the world. The first time is the first time to be the same time to the other,I am glad you have been able to see you.,True,False,130,40,False
71,wellbeing,You have not heard from your brother since yesterday. How do you check in?,I would check in with care and give them space to answer honestly.,I am not to do not know what you have to do that you have to be able to do that you are in the same way to be able ,I am sorry to meet you.,True,False,115,23,False
72,wellbeing,Ask your brother how life has been going after the trip.,I would ask in a calm way and offer to listen if something is difficult.,The first time is the first time to be the first time to be the first time to be the first time to be the first time to be the ,I am glad you are going to see you.,True,False,127,35,False
73,wellbeing,You have not heard from your brother during the cold weather. How do you check in?,I would check in with care and give them space to answer honestly.,I have to be a good way to do with your own life and you can be able to get your own life. You can also be a good way,I am glad you have been able to make it easier.,True,False,117,47,False
74,wellbeing,Ask your brother how life has been going before the weekend.,I would ask in a calm way and offer to listen if something is difficult.,The first time is the first time to be the first time to be the first time to be the first time of the next day. The first time is,I am glad I am glad you are going to me.,True,True,130,40,False
75,wellbeing,You have not heard from your neighbor after a busy week. How do you check in?,I would check in with care and give them space to answer honestly.,I have to be a good way to do with your child and you can be able to get your child to get a child or a child. You can,I am glad you have been able to make it easier.,True,False,118,47,False
76,small_talk,You are waiting with someone and notice the weather this morning. What do you say?,I would mention what I noticed and invite the other person to share their view.,What is the best way to be a good way to be able to be a good way to get a good way to get a good way to get ,I am sorry to meet you.,True,False,109,23,False
77,small_talk,Use the weather on the way here as a starting point for a relaxed conversation.,I would keep the comment light and let the conversation develop naturally.,The first time is the first time to be the first time to be the first time to be the same time to be the same time to the same ,I am glad you have been able to make it easier.,True,False,127,47,False
78,small_talk,You are waiting with someone and notice the weather around lunchtime. What do you say?,I would mention what I noticed and invite the other person to share their view.,I have to be a good way to do that you are not to be able to do with your child or not to be a good or more likely ,I am glad you have been able to make it easier.,True,False,115,47,False
79,small_talk,Use the weather after work as a starting point for a relaxed conversation.,I would keep the comment light and let the conversation develop naturally.,The first time is the first step of the first time to be the first time to be the first time of the Earth to be the first time to ,I am glad you have been able to make it easier.,True,False,130,47,False
80,small_talk,You are waiting with someone and notice the weather during the afternoon. What do you say?,I would mention what I noticed and invite the other person to share their view.,I have to be a good deal to be able to be a good way to get the best time to be in the world. I am sure that I,I am glad you have been able to make it easier.,True,False,110,47,False
81,small_talk,Use the weather before dinner as a starting point for a relaxed conversation.,I would keep the comment light and let the conversation develop naturally.,The first time is the first step of the first time to be the first time to be the first time of the Earth to be the first time to ,I am glad you are going to see you.,True,False,130,35,False
82,small_talk,You are waiting with someone and notice the weekend this morning. What do you say?,I would mention what I noticed and invite the other person to share their view.,The first time you have to be a good idea to be able to get a good way to get a good way to get a good way to the ,I am glad you are going to see you.,True,False,114,35,False
83,small_talk,Use the weekend on the way here as a starting point for a relaxed conversation.,I would keep the comment light and let the conversation develop naturally.,The first time is the first time to be the first time of the first time to be the first time to be the first time of the first time.,I am sorry to meet you.,True,False,132,23,False
84,small_talk,You are waiting with someone and notice the weekend around lunchtime. What do you say?,I would mention what I noticed and invite the other person to share their view.,What are the most common things that you have to be able to do with your child or not to be able to be able to be able to be ,I am sorry to meet you.,True,False,125,23,False
85,small_talk,Use the weekend after work as a starting point for a relaxed conversation.,I would keep the comment light and let the conversation develop naturally.,The first time is the first step of the first time to be the first time to be the first time to be the first time to be the first ,I am glad you are going to see you.,True,False,130,35,False
86,small_talk,You are waiting with someone and notice the weekend during the afternoon. What do you say?,I would mention what I noticed and invite the other person to share their view.,What are the most common things that you have to be able to do with your child or not to be able to get a good or more effective or ,I am sorry to meet you.,False,False,132,23,False
87,small_talk,Use the weekend before dinner as a starting point for a relaxed conversation.,I would keep the comment light and let the conversation develop naturally.,The first time is the first step of the first time to be the first time to be the same time to be the first time of the first time ,I am glad you are going to see you.,True,False,131,35,False
88,small_talk,You are waiting with someone and notice the neighborhood this morning. What do you say?,I would mention what I noticed and invite the other person to share their view.,The first time you have to be a good idea to be able to get a good way to get a good way to get a good way to the ,I am glad you are going to see you.,True,False,114,35,False
89,small_talk,Use the neighborhood on the way here as a starting point for a relaxed conversation.,I would keep the comment light and let the conversation develop naturally.,The first time is the first time to be the first time of the first time to be the first time to be the first time of the first time.,I am sorry to be happy to meet you.,True,False,132,35,False
90,small_talk,You are waiting with someone and notice the neighborhood around lunchtime. What do you say?,I would mention what I noticed and invite the other person to share their view.,What are the most common and the most common things to be able to be able to be able to be able to be able to be able to be ,I am sorry to meet you.,True,False,124,23,False
91,small_talk,Use the neighborhood after work as a starting point for a relaxed conversation.,I would keep the comment light and let the conversation develop naturally.,The first time is the first step of the first time to be the first time to be the first time to be the first time to be the first ,I am glad you are going to see you.,True,False,130,35,False
92,small_talk,You are waiting with someone and notice the neighborhood during the afternoon. What do you say?,I would mention what I noticed and invite the other person to share their view.,What are the most common and the most common things to be able to be able to be able to be able to be a good way to be able ,I am sorry to meet you.,True,False,124,23,False
93,small_talk,Use the neighborhood before dinner as a starting point for a relaxed conversation.,I would keep the comment light and let the conversation develop naturally.,The first time is the first step of the first time to be the first time to be the same time to be the first time to be the first ,I am glad you are going to see you.,True,False,129,35,False
94,small_talk,You are waiting with someone and notice the commute this morning. What do you say?,I would mention what I noticed and invite the other person to share their view.,The first time you have to be a good idea to be able to get a good way to get a good way to get a good way to the ,I am glad you are going to see you.,True,False,114,35,False
95,small_talk,Use the commute on the way here as a starting point for a relaxed conversation.,I would keep the comment light and let the conversation develop naturally.,The first time is the first time to be the first time of the first time to be the first time to be the first time of the first time.,I am sorry to meet you.,True,False,132,23,False
96,small_talk,You are waiting with someone and notice the commute around lunchtime. What do you say?,I would mention what I noticed and invite the other person to share their view.,What are the most common and the most common things to be able to be a good way to do with the best way to do with the same time ,I am sorry to meet you.,True,False,129,23,False
97,small_talk,Use the commute after work as a starting point for a relaxed conversation.,I would keep the comment light and let the conversation develop naturally.,The first time is the first step of the first time to be the first time to be the first time to be the first time to be the first ,I am glad you are going to see you.,True,False,130,35,False
98,small_talk,You are waiting with someone and notice the commute during the afternoon. What do you say?,I would mention what I noticed and invite the other person to share their view.,What are the most common and the most common things to be able to be a good way to do with the best time you can be able to do ,I am sorry to meet you.,True,False,127,23,False
99,small_talk,Use the commute before dinner as a starting point for a relaxed conversation.,I would keep the comment light and let the conversation develop naturally.,The first time is the first step of the first time to be the first time to be the same time to be the first time of the first time ,I am glad you are going to see you.,True,False,131,35,False
100,small_talk,You are waiting with someone and notice the local cafe this morning. What do you say?,I would mention what I noticed and invite the other person to share their view.,What are the most common things that you have to be able to do with a good person to do with a good person or a person or a person ,I am sorry to meet you.,True,False,131,23,False
101,thanks,You are grateful because someone who helped you helped with a difficult task. What do you say?,I would mention the help directly and say how much I appreciated it.,I have to be a good way to be able to be able to be able to be able to be able to be able to be able to be ,I am glad you have been happy.,True,False,107,30,True
102,thanks,Thank someone who helped you for the kindness shown on a busy day.,I would offer a genuine thank-you and let them know their kindness mattered.,€,I am glad you have been happy to see you.,False,False,1,41,True
103,thanks,You are grateful because someone who helped you helped at the last minute. What do you say?,I would mention the help directly and say how much I appreciated it.,I have to be a good way to do that you are not to be able to be able to be able to be able to be able to be ,I am glad you have been happy.,True,False,108,30,True
104,thanks,Thank someone who helped you for the kindness shown during the visit.,I would offer a genuine thank-you and let them know their kindness mattered.,The first time you can be able to be able to be able to be able to be able to be able to be able to be able to be ,I am glad you have been happy to meet you.,True,False,114,42,True
105,thanks,You are grateful because someone who helped you helped when you needed it. What do you say?,I would mention the help directly and say how much I appreciated it.,I have to be a good way to do that you are not to be able to be able to be able to be able to be able to be ,I am glad you have been happy to meet you.,True,False,108,42,True
106,thanks,"Thank someone who helped you for the kindness shown with a difficult task, on another occasion.",I would offer a genuine thank-you and let them know their kindness mattered.,€,I am glad you have been able to make it easier.,False,False,1,47,True
107,thanks,You are grateful because a friend who remembered helped with a difficult task. What do you say?,I would mention the help directly and say how much I appreciated it.,€I have to be a good way to do that you are in the world.€,I am glad you have been happy to meet you.,False,False,58,42,True
108,thanks,Thank a friend who remembered for the kindness shown on a busy day.,I would offer a genuine thank-you and let them know their kindness mattered.,€I have been a good deal to be a good deal to be a good way to be a good way to do with a child or a child ,I am glad you have been happy to see you.,True,False,107,41,True
109,thanks,You are grateful because a friend who remembered helped at the last minute. What do you say?,I would mention the help directly and say how much I appreciated it.,I have to be a good way to do that you are not to be able to be able to be able to be able to be able to be ,I am glad you have been happy to meet you.,True,False,108,42,True
110,thanks,Thank a friend who remembered for the kindness shown during the visit.,I would offer a genuine thank-you and let them know their kindness mattered.,The first time was the first time of the first time to be the first time of the first time of the time of the day of the day of ,I am glad you have been happy to meet you.,True,False,128,42,True
111,thanks,You are grateful because a friend who remembered helped when you needed it. What do you say?,I would mention the help directly and say how much I appreciated it.,I have to be a good way to do that you are not to be able to be able to be able to be able to be able to be ,I am glad you have been happy to meet you.,True,False,108,42,True
112,thanks,"Thank a friend who remembered for the kindness shown with a difficult task, on another occasion.",I would offer a genuine thank-you and let them know their kindness mattered.,€,I am glad you have been able to make it easier.,False,False,1,47,True
113,thanks,You are grateful because a coworker who stayed late helped with a difficult task. What do you say?,I would mention the help directly and say how much I appreciated it.,I have to be a good deal to do with a good deal to be a good way to do with a good person or a good child or a ,I am sorry to meet you.,True,False,111,23,False
114,thanks,Thank a coworker who stayed late for the kindness shown on a busy day.,I would offer a genuine thank-you and let them know their kindness mattered.,€ and €em you know that you have to be a good way to get a good way to get a good way to the right to the right,I am glad you are going to see you.,True,False,111,35,True
115,thanks,You are grateful because a coworker who stayed late helped at the last minute. What do you say?,I would mention the help directly and say how much I appreciated it.,I have to be a good deal to do with a few years of the world and the people are not to be able to be a good way to ,I am sorry to meet you.,False,False,115,23,False
116,thanks,Thank a coworker who stayed late for the kindness shown during the visit.,I would offer a genuine thank-you and let them know their kindness mattered.,The first time was the first time of the first time of the first time to be the first time of the first time of the Moon. The crew was,I am glad you have been able to see you.,True,False,134,40,True
117,thanks,You are grateful because a coworker who stayed late helped when you needed it. What do you say?,I would mention the help directly and say how much I appreciated it.,I have to be a good deal to do with a good deal to do with your child or a child or a child or a child or a child ,I am sorry to meet you.,True,False,114,23,False
118,thanks,"Thank a coworker who stayed late for the kindness shown with a difficult task, on another occasion.",I would offer a genuine thank-you and let them know their kindness mattered.,€,I am glad that is a good way to meet you.,False,False,1,41,True
119,thanks,You are grateful because a host who welcomed you helped with a difficult task. What do you say?,I would mention the help directly and say how much I appreciated it.,If you have a lot of your child or not have a child or a child or a child or a child or a child. You can also be able,I am sorry to meet you.,True,False,117,23,False
120,thanks,Thank a host who welcomed you for the kindness shown on a busy day.,I would offer a genuine thank-you and let them know their kindness mattered.,The first time you can be able to get a good deal to get a good time to the next day. You can be a good way to get a,I am glad you have been able to see you.,True,False,116,40,True
121,thanks,You are grateful because a host who welcomed you helped at the last minute. What do you say?,I would mention the help directly and say how much I appreciated it.,What are the most common and the most common things to be the same as you have to be able to do with your own life? You can be able,I am sorry to meet you.,False,False,131,23,False
122,thanks,Thank a host who welcomed you for the kindness shown during the visit.,I would offer a genuine thank-you and let them know their kindness mattered.,The first time you can be able to be able to be able to be able to be able to be able to be able to be a good way ,I am sorry to meet you.,True,False,114,23,False
123,thanks,You are grateful because a host who welcomed you helped when you needed it. What do you say?,I would mention the help directly and say how much I appreciated it.,What are the best way? What is the most important and the best way to be the right to the right to the right and the right to the other,I am sorry to meet you.,True,False,135,23,False
124,thanks,"Thank a host who welcomed you for the kindness shown with a difficult task, on another occasion.",I would offer a genuine thank-you and let them know their kindness mattered.,The following time you can be able to be able to be able to be able to be able to be able to be able to be able to be ,I am glad you have been able to make it easier.,True,False,118,47,True
125,thanks,You are grateful because a person who shared advice helped with a difficult task. What do you say?,I would mention the help directly and say how much I appreciated it.,€,I am glad that is a good way to meet you.,False,False,1,41,True
126,apologies,You realize that you arrived late affected someone before the meeting. What do you say?,"I would take responsibility, apologize directly, and offer a practical repair.",The first time you have to be a good deal to be able to get a good way to get a good way to get a good way to the ,I am sorry to meet you.,True,False,114,23,True
127,apologies,Make amends after you arrived late happened during a busy afternoon.,I would be honest about the mistake and focus on making things right.,The first time is a good deal to be a good deal of the world. The first time is the first time to be the first time to be the,I am glad I am glad you are going to me.,True,True,125,40,False
128,apologies,You realize that you arrived late affected someone at the start of the conversation. What do you say?,"I would take responsibility, apologize directly, and offer a practical repair.",I have to be a good deal to do with the best of the world. I have to do that I have to do that I have to do that,I am sorry to meet you.,True,False,112,23,True
129,apologies,Make amends after you arrived late happened while making plans.,I would be honest about the mistake and focus on making things right.,The first time to be a good deal to be able to be a good way to be able to be a good way to get a good way to ,I am glad I am glad you are going to see you.,True,True,110,45,False
